Context,ID,RU (Original),EN,ES,TR,AR
Frontend Label,earn/BalanceModal.tsx,Комиссия MONEO ({(commissionRate * 100).toFixed(0)}%):,,,,
Frontend Label,earn/BalanceModal.tsx,Повысьте тариф для снижения,,,,
Frontend Label,earn/BalanceModal.tsx,Вы получите:,,,,
Frontend Label,earn/BalanceModal.tsx,"balance}
                                        className=""w-full bg-indigo-600 hover:bg-indigo-500 disabled:opacity-50 disabled:cursor-not-allowed text-white font-bold py-3 rounded-xl shadow-lg shadow-indigo-900/20 transition-all""
                                    >
                                        {amountNum > balance ? 'Недостаточно средств' : 'Запросить вывод'}",,,,
Frontend Label,earn/BalanceModal.tsx,Сумма к получению (USDT BEP20),,,,
Frontend Label,earn/BalanceModal.tsx,Ваш кошелек USDT (BEP20),,,,
Frontend Label,earn/BalanceModal.tsx,"Пожалуйста, убедитесь, что адрес сети BNB Smart Chain (BEP20).",,,,
Frontend Label,earn/BalanceModal.tsx,: 'Подтвердить вывод'},,,,
Frontend Label,earn/BalanceModal.tsx,Вывод средств обрабатывается в ручном режиме администратором. Обычно занимает от 15 минут до 24 часов.,,,,
Frontend Label,earn/BalanceModal.tsx,Успешно синхронизировано: $${res.synced},,,,
Frontend Label,earn/BalanceModal.tsx,Нет средств для синхронизации,,,,
Frontend Label,earn/BalanceModal.tsx,Ошибка синхронизации:,,,,
Frontend Label,earn/BalanceModal.tsx,Ошибка сети,,,,
Frontend Label,earn/BalanceModal.tsx,Введите корректный адрес кошелька BEP20,,,,
Frontend Label,earn/BalanceModal.tsx,"Заявка на вывод $${amountNum} создана!\nКошелек: ${walletAddress.slice(0, 6)}...${walletAddress.slice(-4)}",,,,
Frontend Label,earn/BalanceModal.tsx,Ошибка вывода,,,,
Frontend Label,earn/BalanceModal.tsx,Сбой сети:,,,,
Frontend Label,earn/BalanceModal.tsx,Синхронизировать старый баланс,,,,
Frontend Label,earn/BalanceModal.tsx,Недостаточно средств,,,,
Frontend Label,earn/BalanceModal.tsx,Запросить вывод,,,,
Frontend Label,earn/BalanceModal.tsx,Подтвердить вывод,,,,
Frontend Label,earn/PartnersModal.tsx,Ваши Партнеры,,,,
Frontend Label,earn/PartnersModal.tsx,Загрузка списка...,,,,
Frontend Label,earn/PartnersModal.tsx,У вас пока нет партнеров.,,,,
Frontend Label,earn/PartnersModal.tsx,Приглашайте друзей по вашей ссылке!,,,,
Frontend Label,earn/PartnersModal.tsx,{p.first_name || p.username || 'Без имени'},,,,
Frontend Label,earn/PartnersModal.tsx,B = Бонусный доход (в структуру),,,,
Frontend Label,earn/PartnersModal.tsx,Без имени,,,,
Frontend Label,earn/ProgramDescription.tsx,Подробнее о программе,,,,
Frontend Label,earn/ProgramDescription.tsx,Как работает Тринар и распределение,,,,
Frontend Label,earn/ProgramDescription.tsx,Ключевая идея модели,,,,
Frontend Label,earn/ProgramDescription.tsx,100% денег,,,,
Frontend Label,earn/ProgramDescription.tsx,работают внутри системы,,,,
Frontend Label,earn/ProgramDescription.tsx,Подписка = актив,,,,
Frontend Label,earn/ProgramDescription.tsx,Аватар = автономный доходный модуль,,,,
Frontend Label,earn/ProgramDescription.tsx,Чем выше тариф:,,,,
Frontend Label,earn/ProgramDescription.tsx,тем выше доход,,,,
Frontend Label,earn/ProgramDescription.tsx,тем больше доступный вывод,,,,
Frontend Label,earn/ProgramDescription.tsx,Всё автоматизировано • прозрачно • масштабируемо,,,,
Frontend Label,earn/ProgramDescription.tsx,Маркетинг «Тринар»,,,,
Frontend Label,earn/ProgramDescription.tsx,1️⃣ Распределение оплат (ключевой принцип),,,,
Frontend Label,earn/ProgramDescription.tsx,С каждой оплаты приглашённого пользователя 100% суммы распределяется внутри системы — деньги не выводятся из оборота.,,,,
Frontend Label,earn/ProgramDescription.tsx,На Ваш Зеленый баланс,,,,
Frontend Label,earn/ProgramDescription.tsx,Доступно к выводу согласно тарифу,,,,
Frontend Label,earn/ProgramDescription.tsx,В Желтый бонус,,,,
Frontend Label,earn/ProgramDescription.tsx,Накапливается в структуре. При закрытии 5-го уровня → конвертируется в деньги владельца.,,,,
Frontend Label,earn/ProgramDescription.tsx,2️⃣ Подписка = Аватар,,,,
Frontend Label,earn/ProgramDescription.tsx,При покупке любой платной подписки пользователь автоматически получает аватара.,,,,
Frontend Label,earn/ProgramDescription.tsx,Сразу размещается в своей тринарной сетке,,,,
Frontend Label,earn/ProgramDescription.tsx,Начинает работать на доход владельца,,,,
Frontend Label,earn/ProgramDescription.tsx,Система автоматически ставит аватара под первого незаполненного в структуре,,,,
Frontend Label,earn/ProgramDescription.tsx,3️⃣ Тарифы участия,,,,
Frontend Label,earn/ProgramDescription.tsx,🟢 Тариф «Гость» — 0$,,,,
Frontend Label,earn/ProgramDescription.tsx,Аватар не предоставляется,,,,
Frontend Label,earn/ProgramDescription.tsx,Можно играть и приглашать друзей,,,,
Frontend Label,earn/ProgramDescription.tsx,🔵 Тариф «Игрок» — 20$,,,,
Frontend Label,earn/ProgramDescription.tsx,Номинал аватара:,,,,
Frontend Label,earn/ProgramDescription.tsx,Доход (при закрытии 5ур):,,,,
Frontend Label,earn/ProgramDescription.tsx,Доступный вывод:,,,,
Frontend Label,earn/ProgramDescription.tsx,🟣 Тариф «Мастер» — 100$,,,,
Frontend Label,earn/ProgramDescription.tsx,🔶 Тариф «Партнёр» — 1000$,,,,
Frontend Label,earn/ProgramDescription.tsx,Логика работы аватара,,,,
Frontend Label,earn/ProgramDescription.tsx,Каждый аватар:,,,,
Frontend Label,earn/ProgramDescription.tsx,Имеет максимум 3 партнёра в первой линии,,,,
Frontend Label,earn/ProgramDescription.tsx,Развивается автономно в тринарной структуре,,,,
Frontend Label,earn/ProgramDescription.tsx,🔥 Условие выплаты:,,,,
Frontend Label,earn/ProgramDescription.tsx,3 партнёра 4-го уровня,,,,
Frontend Label,earn/ProgramDescription.tsx,весь желтый бонус,,,,
Frontend Label,earn/ProgramDescription.tsx,"владельцу, после чего завершает работу.",,,,
Frontend Label,earn/RedBalanceModal.tsx,Красный баланс,,,,
Frontend Label,earn/RedBalanceModal.tsx,🔴 Зачем приглашать друзей?,,,,
Frontend Label,earn/RedBalanceModal.tsx,"среду, связи и стратегию роста",,,,
Frontend Label,earn/RedBalanceModal.tsx,Бонус за друга,,,,
Frontend Label,earn/RedBalanceModal.tsx,на красный баланс.,,,,
Frontend Label,earn/RedBalanceModal.tsx,игровой капитал,,,,
Frontend Label,earn/RedBalanceModal.tsx,", который открывает доступ к более высоким уровням игры.",,,,
Frontend Label,earn/RedBalanceModal.tsx,Что даёт красный баланс?,,,,
Frontend Label,earn/RedBalanceModal.tsx,"""Красный баланс — это энергия вашей сети. Чем она сильнее, тем дальше вы проходите в игре.""",,,,
Frontend Label,earn/RedBalanceModal.tsx,🟢 Как заработать реальные деньги?,,,,
Frontend Label,earn/RedBalanceModal.tsx,зелёный баланс,,,,
Frontend Label,earn/RedBalanceModal.tsx,— это реальные деньги для вывода.,,,,
Frontend Label,earn/RedBalanceModal.tsx,Вход в турнир:,,,,
Frontend Label,earn/RedBalanceModal.tsx,Второй этап:,,,,
Frontend Label,earn/RedBalanceModal.tsx,Призовой фонд (Март):,,,,
Frontend Label,earn/RedBalanceModal.tsx,История начислений,,,,
Frontend Label,earn/RedBalanceModal.tsx,"Всего: ${partners.reduce((acc, p) => acc + (p.incomeRed || 0), 0)}",,,,
Frontend Label,earn/RedBalanceModal.tsx,Игрок,,,,
Frontend Label,earn/RedBalanceModal.tsx,Нет приглашенных друзей,,,,
Frontend Label,earn/RedBalanceModal.tsx,"Пригласите друзей, чтобы получить бонус!",,,,
Frontend Label,earn/RedBalanceModal.tsx,">
                                    Игра «Монео» — это не просто про деньги. Это про <span className=",,,,
Frontend Label,earn/RedBalanceModal.tsx,>Каждый приглашённый вами друг — это <span className=,,,,
Frontend Label,earn/RedBalanceModal.tsx,Участие в турнирах,,,,
Frontend Label,earn/RedBalanceModal.tsx,Переход на следующие этапы,,,,
Frontend Label,earn/RedBalanceModal.tsx,Доступ к призовым фондам,,,,
Frontend Label,earn/RedBalanceModal.tsx,Игра без личных вложений,,,,
Frontend Label,earn/RedBalanceModal.tsx,"Красный баланс — это энергия вашей сети. Чем она сильнее, тем дальше вы проходите в игре.",,,,
Frontend Label,earn/RedBalanceModal.tsx,">
                                    В турнирах разыгрывается <span className=",,,,
Frontend Label,earn/page.tsx,Партнерская программа,,,,
Frontend Label,earn/page.tsx,Найдены старые средства,,,,
Frontend Label,earn/page.tsx,"{
                            if (!webApp?.initData) return;
                            setIsLoading(true);
                            try {
                                const res = await partnershipApi.syncLegacyBalance(webApp.initData);
                                if (res.success) {
                                    webApp.showAlert(`Успешно перенесено: $${res.synced}`);
                                    window.location.reload();
                                } else {
                                    webApp.showAlert(""Ошибка синхронизации. Попробуйте позже."");
                                }
                            } catch (e) {
                                webApp.showAlert(""Ошибка сети"");
                            } finally {
                                setIsLoading(false);
                            }
                        }}
                        disabled={isLoading}
                        className=""bg-orange-500 hover:bg-orange-600 text-white font-bold px-4 py-2 rounded-lg text-sm""
                    >
                        {isLoading ? '...' : 'Получить'}",,,,
Frontend Label,earn/page.tsx,Всего участников,,,,
Frontend Label,earn/page.tsx,Пригласи друга,,,,
Frontend Label,earn/page.tsx,Получай 50% бонус от их оплат навсегда!,,,,
Frontend Label,earn/page.tsx,Цель,,,,
Frontend Label,earn/page.tsx,Распределение средств,,,,
Frontend Label,earn/page.tsx,В игре (призовой фонд),,,,
Frontend Label,earn/page.tsx,Доступно к выводу,,,,
Frontend Label,earn/page.tsx,Тариф Игрок ($20/мес),,,,
Frontend Label,earn/page.tsx,Тариф Мастер ($100/год),,,,
Frontend Label,earn/page.tsx,Тариф Франчайзи ($1000),,,,
Frontend Label,earn/page.tsx,Осталось 22 места (бессрочно),,,,
Frontend Label,earn/page.tsx,Твоя ссылка,,,,
Frontend Label,earn/page.tsx,Друзей,,,,
Frontend Label,earn/page.tsx,Управление,,,,
Frontend Label,earn/page.tsx,Аватары (Доходные модули),,,,
Frontend Label,earn/page.tsx,Купить,,,,
Frontend Label,earn/page.tsx,Мастер,,,,
Frontend Label,earn/page.tsx,Партнер,,,,
Frontend Label,earn/page.tsx,для покупки этого аватара.,,,,
Frontend Label,earn/page.tsx,Ваш баланс:,,,,
Frontend Label,earn/page.tsx,Купить тариф ${tariff} за $${price}?,,,,
Frontend Label,earn/page.tsx,Успешно! Аватар активирован.,,,,
Frontend Label,earn/page.tsx,Сбой сети,,,,
Frontend Label,earn/page.tsx,Ссылка скопирована!,,,,
Frontend Label,earn/page.tsx,Успешно перенесено: $${res.synced},,,,
Frontend Label,earn/page.tsx,Ошибка синхронизации. Попробуйте позже.,,,,
Frontend Label,earn/page.tsx,Получить,,,,
Frontend Label,earn/page.tsx,">
                            Доход (Игровой)
                            <span className=",,,,
Frontend Label,earn/page.tsx,">
                        Зеленый баланс
                        <span className=",,,,
Frontend Label,earn/page.tsx,">
                                    Вам не хватает <span className=",,,,
Frontend Label,game/ActiveCardZone.tsx,Выберите Возможность,,,,
Frontend Label,game/ActiveCardZone.tsx,Куда инвестировать?,,,,
Frontend Label,game/ActiveCardZone.tsx,Мелкая Сделка,,,,
Frontend Label,game/ActiveCardZone.tsx,"Стоимость до $5,000",,,,
Frontend Label,game/ActiveCardZone.tsx,Крупная Сделка,,,,
Frontend Label,game/ActiveCardZone.tsx,"Стоимость от $6,000",,,,
Frontend Label,game/ActiveCardZone.tsx,Нужен кэш $6k+,,,,
Frontend Label,game/ActiveCardZone.tsx,Благотворительность,,,,
Frontend Label,game/ActiveCardZone.tsx,2 кубика,,,,
Frontend Label,game/ActiveCardZone.tsx,следующие 3 хода.,,,,
Frontend Label,game/ActiveCardZone.tsx,Сумма:,,,,
Frontend Label,game/ActiveCardZone.tsx,"socket.emit('charity_choice', { roomId, accept: false })}
                                className=""w-full bg-slate-700 hover:bg-slate-600 text-slate-300 font-bold py-3.5 rounded-xl text-sm uppercase tracking-wider active:scale-95 transition-transform""
                            >
                                Отказаться",,,,
Frontend Label,game/ActiveCardZone.tsx,">
                            Пожертвуйте <span className=",,,,
Frontend Label,game/ActiveCardZone.tsx,"Не хватает кэша ($${Math.max(1000, Math.ceil((me.salary + (me.passiveIncome || 0)) * 0.1))})",,,,
Frontend Label,game/ActiveCardZone.tsx,Пожертвовать,,,,
Frontend Label,game/AdminActionModal.tsx,Выберите игрока,,,,
Frontend Label,game/AdminActionModal.tsx,Отмена,,,,
Frontend Label,game/AdminActionModal.tsx,{type === 'GIFT' ? 'Подарить' : 'Подтвердить'},,,,
Frontend Label,game/AdminActionModal.tsx,Пропустить ход?,,,,
Frontend Label,game/AdminActionModal.tsx,Выгнать игрока?,,,,
Frontend Label,game/AdminActionModal.tsx,Подарить деньги,,,,
Frontend Label,game/AdminActionModal.tsx,Сделать ход за игрока?,,,,
Frontend Label,game/AdminActionModal.tsx,Передать сделку,,,,
Frontend Label,game/AdminActionModal.tsx,"Вы уверены, что хотите пропустить ход игрока ${targetPlayer.name}?",,,,
Frontend Label,game/AdminActionModal.tsx,"Вы уверены, что хотите кикнуть игрока ${targetPlayer.name}? Это действие нельзя отменить.",,,,
Frontend Label,game/AdminActionModal.tsx,"Введите сумму, которую хотите подарить игроку ${targetPlayer.name}. Деньги будут добавлены к его балансу.",,,,
Frontend Label,game/AdminActionModal.tsx,Вы выполните действие (бросок кубика или принятие решения) за игрока ${targetPlayer.name}.,,,,
Frontend Label,game/AdminActionModal.tsx,"Выберите игрока, которому хотите передать текущую активную сделку (карточку) от ${targetPlayer.name}.",,,,
Frontend Label,game/AdminActionModal.tsx,Подарить,,,,
Frontend Label,game/AdminActionModal.tsx,Подтвердить,,,,
Frontend Label,game/AudioChat.tsx,Вы,,,,
Frontend Label,game/BabyRollView.tsx,👶 Ожидание броска...,,,,
Frontend Label,game/BabyRollView.tsx,АВТО: {timeLeft}с,,,,
Frontend Label,game/BabyRollView.tsx,Пополнение в семье!,,,,
Frontend Label,game/BabyRollView.tsx,Бросьте кубик чтобы узнать родился ли ребенок,,,,
Frontend Label,game/BabyRollView.tsx,"{
                        try {
                            const res = await fetch(`${getGameServiceUrl()}/api/rooms/${roomId}/baby/roll`, {
                                method: 'POST',
                                headers: { 'Content-Type': 'application/json' }
                            });
                            if (!res.ok) throw new Error('Failed to roll');
                        } catch (e) {
                            console.error(e);
                            socket.emit('roll_dice', { roomId });
                        }
                    }}
                    className=""w-full bg-gradient-to-r from-pink-600 to-purple-600 hover:from-pink-500 hover:to-purple-500 text-white font-bold py-4 rounded-xl text-sm uppercase shadow-lg active:scale-95 transition-all""
                >
                    🎲 Бросить кубик",,,,
Frontend Label,game/BankModal.tsx,Назад,,,,
Frontend Label,game/BankModal.tsx,Банк,,,,
Frontend Label,game/BankModal.tsx,"socket.emit('request_state', { roomId })}
                                className=""w-8 h-8 rounded-full bg-slate-800/80 flex items-center justify-center text-slate-400 hover:bg-slate-700 hover:text-white transition-all active:rotate-180 duration-300""
                                title=""Обновить баланс""
                            >
                                🔄",,,,
Frontend Label,game/BankModal.tsx,Система активна,,,,
Frontend Label,game/BankModal.tsx,"Баланс
                            {/* Removed Hint from here, moving focus to Income Block */}",,,,
Frontend Label,game/BankModal.tsx,ПАССИВНЫЙ,,,,
Frontend Label,game/BankModal.tsx,Налоги и Жизнь:,,,,
Frontend Label,game/BankModal.tsx,Дети ({player.childrenCount}):,,,,
Frontend Label,game/BankModal.tsx,Лимит:,,,,
Frontend Label,game/BankModal.tsx,"{ handleRepayLoan(); }} className=""bg-emerald-600 hover:bg-emerald-500 text-white py-3 rounded-xl font-bold text-xs uppercase tracking-wider transition-all shadow-lg shadow-emerald-900/20 active:scale-95 flex items-center justify-center gap-2"">
                                Погасить",,,,
Frontend Label,game/BankModal.tsx,Кредит недоступен,,,,
Frontend Label,game/BankModal.tsx,"{ handleTakeLoan(); }} className=""bg-red-600 hover:bg-red-500 text-white py-2 rounded-lg font-bold text-sm transition-colors shadow-lg shadow-red-900/20 relative"">
                                    Взять",,,,
Frontend Label,game/BankModal.tsx,"Сумма должна быть кратна $1,000",,,,
Frontend Label,game/BankModal.tsx,Превышен лимит по денежному потоку,,,,
Frontend Label,game/BankModal.tsx,Банковские кредиты недоступны на Скоростной Дорожке,,,,
Frontend Label,game/BankModal.tsx,Операции,,,,
Frontend Label,game/BankModal.tsx,Выберите получателя,,,,
Frontend Label,game/BankModal.tsx,"{ setTransferAmount(0); setRecipientId(''); }} className=""px-5 py-2.5 rounded-xl border border-slate-600/50 text-slate-400 hover:bg-slate-700/50 hover:text-white transition-colors text-xs font-bold uppercase tracking-wider"">Сбросить",,,,
Frontend Label,game/BankModal.tsx,История пуста,,,,
Frontend Label,game/BankModal.tsx,{t.type === 'TRANSFER' ? (t.from === player.name ? `Перевод игроку ${t.to}` : `Перевод от ${t.from}`) : t.description},,,,
Frontend Label,game/BankModal.tsx,{t.from === player.name ? 'Списание' : 'Пополнение'} • {new Date(t.timestamp).toLocaleTimeString()},,,,
Frontend Label,game/BankModal.tsx,Обновить баланс,,,,
Frontend Label,game/BankModal.tsx,">
                                ↗ ДОХОД
                                ↗ ДОХОД
                                {showHint(0) && <PortalTutorialTip text=",,,,
Frontend Label,game/BankModal.tsx,">
                                ↘ РАСХОДЫ
                                <span className={",,,,
Frontend Label,game/BankModal.tsx,">
                                Текущий Кредит
                                {showHint(1) && <PortalTutorialTip text=",,,,
Frontend Label,game/BankModal.tsx,Сумма (кратно 1000),,,,
Frontend Label,game/BankModal.tsx,Сумма,,,,
Frontend Label,game/BankModal.tsx,">
                                Выполнить <span className=",,,,
Frontend Label,game/BankModal.tsx,"4. История операций. Нажмите, чтобы завершить.",,,,
Frontend Label,game/BankModal.tsx,Перевод игроку ${t.to},,,,
Frontend Label,game/BankModal.tsx,Перевод от ${t.from},,,,
Frontend Label,game/BankModal.tsx,Списание,,,,
Frontend Label,game/BankModal.tsx,Пополнение,,,,
Frontend Label,game/BoardVisualizer.tsx,Мечта {p.name},,,,
Frontend Label,game/BoardVisualizer.tsx,Аудит,,,,
Frontend Label,game/BoardVisualizer.tsx,Кража,,,,
Frontend Label,game/BoardVisualizer.tsx,Развод,,,,
Frontend Label,game/BoardVisualizer.tsx,Пожар,,,,
Frontend Label,game/BoardVisualizer.tsx,Рейдер,,,,
Frontend Label,game/BoardVisualizer.tsx,Мечта игрока ${p.name},,,,
Frontend Label,game/BoardVisualizer.tsx,Владелец: ${owner.name},,,,
Frontend Label,game/BoardVisualizer.tsx,Кнопка выхода на Большой Круг,,,,
Frontend Label,game/CardGalleryModal.tsx,{getDescription()} • Всего карт: {cards.length},,,,
Frontend Label,game/CardGalleryModal.tsx,Загрузка карт...,,,,
Frontend Label,game/CardGalleryModal.tsx,Нет карт в этой колоде.,,,,
Frontend Label,game/CardGalleryModal.tsx,Малые Сделки,,,,
Frontend Label,game/CardGalleryModal.tsx,Крупные Сделки,,,,
Frontend Label,game/CardGalleryModal.tsx,Рынок (Активные),,,,
Frontend Label,game/CardGalleryModal.tsx,Карты,,,,
Frontend Label,game/CardGalleryModal.tsx,"Карты, доступные для покупки другими игроками",,,,
Frontend Label,game/CardHeader.tsx,{ownedQty} шт,,,,
Frontend Label,game/CardHeader.tsx,Предложение,,,,
Frontend Label,game/CardHeader.tsx,Цена,,,,
Frontend Label,game/CardHeader.tsx,"{
                        e.stopPropagation();
                        onDismiss();
                    }}
                    className=""w-6 h-6 rounded-lg bg-slate-700/50 hover:bg-red-600/80 text-slate-400 hover:text-white flex items-center justify-center transition-all text-sm font-bold""
                    title=""Закрыть""
                >
                    ✕",,,,
Frontend Label,game/CardHeader.tsx,Малая сделка,,,,
Frontend Label,game/CardHeader.tsx,Крупная сделка,,,,
Frontend Label,game/CardHeader.tsx,Рынок,,,,
Frontend Label,game/CardHeader.tsx,Расход,,,,
Frontend Label,game/CardHeader.tsx,Трата,,,,
Frontend Label,game/CardHeader.tsx,Зарплата,,,,
Frontend Label,game/CardHeader.tsx,Увольнение,,,,
Frontend Label,game/CardHeader.tsx,Ребенок,,,,
Frontend Label,game/CardHeader.tsx,Закрыть,,,,
Frontend Label,game/CongratulateModal.tsx,У {targetPlayerName} родился ребенок!,,,,
Frontend Label,game/CongratulateModal.tsx,Поздравьте игрока с этим событием,,,,
Frontend Label,game/CongratulateModal.tsx,Сумма подарка (Макс: ${maxGift.toLocaleString()}),,,,
Frontend Label,game/CongratulateModal.tsx,Пропустить,,,,
Frontend Label,game/CongratulateModal.tsx,"maxGift}
                            className=""flex-3 w-3/5 bg-gradient-to-r from-green-500 to-emerald-600 hover:from-green-400 hover:to-emerald-500 disabled:opacity-50 disabled:cursor-not-allowed text-white font-bold py-3 rounded-xl text-sm uppercase shadow-lg active:scale-95 transition-all""
                        >
                            🎁 Подарить",,,,
Frontend Label,game/ExitToFastTrackModal.tsx,Выход на Большой Трек,,,,
Frontend Label,game/ExitToFastTrackModal.tsx,Выполните условия для победы в крысиных бегах,,,,
Frontend Label,game/ExitToFastTrackModal.tsx,Погасить кредит,,,,
Frontend Label,game/ExitToFastTrackModal.tsx,{reqLoan ? 'Готово' : `-${player.loanDebt.toLocaleString()}`},,,,
Frontend Label,game/ExitToFastTrackModal.tsx,Пассивный доход,,,,
Frontend Label,game/ExitToFastTrackModal.tsx,"Цель: $10,000",,,,
Frontend Label,game/ExitToFastTrackModal.tsx,Накопить деньги,,,,
Frontend Label,game/ExitToFastTrackModal.tsx,"Цель: $200,000",,,,
Frontend Label,game/ExitToFastTrackModal.tsx,{allReady ? 'ВЫЙТИ НА БОЛЬШОЙ ТРЕК 🚀' : 'Условия не выполнены'},,,,
Frontend Label,game/ExitToFastTrackModal.tsx,>Текущий долг: <span className=,,,,
Frontend Label,game/ExitToFastTrackModal.tsx,Готово,,,,
Frontend Label,game/ExitToFastTrackModal.tsx,ВЫЙТИ НА БОЛЬШОЙ ТРЕК 🚀,,,,
Frontend Label,game/ExitToFastTrackModal.tsx,Условия не выполнены,,,,
Frontend Label,game/ExpenseBreakdownModal.tsx,📉 Структура расходов,,,,
Frontend Label,game/ExpenseBreakdownModal.tsx,Налоги,,,,
Frontend Label,game/ExpenseBreakdownModal.tsx,Ипотека,,,,
Frontend Label,game/ExpenseBreakdownModal.tsx,Учеба,,,,
Frontend Label,game/ExpenseBreakdownModal.tsx,Автокредит,,,,
Frontend Label,game/ExpenseBreakdownModal.tsx,Кредитка,,,,
Frontend Label,game/ExpenseBreakdownModal.tsx,Магазины,,,,
Frontend Label,game/ExpenseBreakdownModal.tsx,Прочие,,,,
Frontend Label,game/ExpenseBreakdownModal.tsx,Дети,,,,
Frontend Label,game/ExpenseBreakdownModal.tsx,Кредит банка (10%),,,,
Frontend Label,game/ExpenseBreakdownModal.tsx,Расходы активов,,,,
Frontend Label,game/ExpenseBreakdownModal.tsx,Итого,,,,
Frontend Label,game/FastTrackInfoModal.tsx,Как победить?,,,,
Frontend Label,game/FastTrackInfoModal.tsx,Способ 1,,,,
Frontend Label,game/FastTrackInfoModal.tsx,МЕЧТУ,,,,
Frontend Label,game/FastTrackInfoModal.tsx,Попадите на розовую клетку с вашей мечтой и купите её.,,,,
Frontend Label,game/FastTrackInfoModal.tsx,Ваша мечта:,,,,
Frontend Label,game/FastTrackInfoModal.tsx,ИЛИ,,,,
Frontend Label,game/FastTrackInfoModal.tsx,Способ 2,,,,
Frontend Label,game/FastTrackInfoModal.tsx,Увеличить Ден.Поток,,,,
Frontend Label,game/FastTrackInfoModal.tsx,Старт: ${player.fastTrackStartIncome?.toLocaleString() || 0},,,,
Frontend Label,game/FastTrackInfoModal.tsx,Цель: ${((player.fastTrackStartIncome || 0) + 50000).toLocaleString()},,,,
Frontend Label,game/FastTrackInfoModal.tsx,Осталось: ${needed.toLocaleString()},,,,
Frontend Label,game/FastTrackInfoModal.tsx,Все понятно!,,,,
Frontend Label,game/FastTrackInfoModal.tsx,>Купить свою <span className=,,,,
Frontend Label,game/FastTrackInfoModal.tsx,">
                                Добавьте <span className=",,,,
Frontend Label,game/FeedCardItem.tsx,Ваш денежный поток,,,,
Frontend Label,game/FeedCardItem.tsx,Зачислен на баланс,,,,
Frontend Label,game/FeedCardItem.tsx,Поток:,,,,
Frontend Label,game/FeedCardItem.tsx,У вас есть ({ownedQty} шт),,,,
Frontend Label,game/FeedCardItem.tsx,У вас нет такого актива,,,,
Frontend Label,game/FeedCardItem.tsx,У вас нет этого актива,,,,
Frontend Label,game/FeedCardItem.tsx,"Сначала нужно купить актив, чтобы его продать.",,,,
Frontend Label,game/FeedCardItem.tsx,Совет:,,,,
Frontend Label,game/FeedCardItem.tsx,"Обратите внимание, куда уходят деньги. Обязательные траты и импульсные покупки часто мешают создать капитал.",,,,
Frontend Label,game/FeedCardItem.tsx,"{
                                                    setTransactionMode('BUY');
                                                    const price = card.offerPrice || card.cost || card.price || 0;
                                                    // const maxBuy = price > 0 ? Math.floor(me.cash / price) : 1; // Unused
                                                    setStockQty(1);
                                                    setViewMode('TRANSACTION');
                                                }}
                                                className=""flex-1 bg-green-600 hover:bg-green-500 text-white font-bold py-2 rounded-lg text-[10px] uppercase tracking-wider shadow-lg transition-transform active:scale-[0.98]""
                                            >
                                                Купить",,,,
Frontend Label,game/FeedCardItem.tsx,"{
                                                    setTransactionMode('SELL');
                                                    setStockQty(ownedQty);
                                                    setViewMode('TRANSACTION');
                                                }}
                                                className=""flex-1 bg-blue-600 hover:bg-blue-500 text-white font-bold py-2 rounded-lg text-[10px] uppercase tracking-wider shadow-lg transition-transform active:scale-[0.98]""
                                            >
                                                Продать",,,,
Frontend Label,game/FeedCardItem.tsx,"setShowTransfer(true)}
                                                className=""px-3 bg-cyan-700 hover:bg-cyan-600 text-cyan-200 font-bold py-2 rounded-lg text-xl flex items-center justify-center""
                                                title=""Передать сделку""
                                            >
                                                ➜",,,,
Frontend Label,game/FeedCardItem.tsx,"onDismiss()}
                                                className=""flex-1 bg-slate-700 hover:bg-slate-600 text-slate-300 font-bold py-2 rounded-lg text-[10px] uppercase tracking-wider""
                                            >
                                                {isOffer ? 'Закрыть' : 'Отказаться'}",,,,
Frontend Label,game/FeedCardItem.tsx,Крупная (от $6k),,,,
Frontend Label,game/FeedCardItem.tsx,Малые сделки,,,,
Frontend Label,game/FeedCardItem.tsx,"($500-$5000), чтобы накопить стартовый капитал с минимальным риском.",,,,
Frontend Label,game/FeedCardItem.tsx,Сетевой Бизнес,,,,
Frontend Label,game/FeedCardItem.tsx,"Бросьте кубик, чтобы определить количество партнеров в вашей структуре.",,,,
Frontend Label,game/FeedCardItem.tsx,"{
                                const roll = Math.floor(Math.random() * 6) + 1;
                                setMlmRoll(roll);
                                setStockQty(roll); // Set partners count
                                setTransactionMode('BUY');
                                setTimeout(() => setViewMode('TRANSACTION'), 1000); // Small delay to show result?
                                // For now immediate
                            }}
                            className=""w-full bg-indigo-600 hover:bg-indigo-500 text-white font-bold py-3 rounded-xl text-xs uppercase tracking-wider shadow-lg""
                        >
                            Бросить кубик",,,,
Frontend Label,game/FeedCardItem.tsx,{transactionMode === 'SELL' ? 'Продано!' : card.type === 'EXPENSE' ? 'Оплачено!' : 'Успешно!'},,,,
Frontend Label,game/FeedCardItem.tsx,"{transactionMode === 'SELL'
                                ? `Вы успешно продали ${card.title || card.symbol || 'актив'}`
                                : card.type === 'EXPENSE'
                                    ? `Вы оплатили: ${card.title || 'расход'}`
                                    : `Вы приобрели: ${card.title || card.symbol || 'актив'}`
                            }",,,,
Frontend Label,game/FeedCardItem.tsx,"Закрытие через {formatTime(Math.max(0, timeLeft))}",,,,
Frontend Label,game/FeedCardItem.tsx,Закрыть сейчас,,,,
